role,login_hour,ip_known,request_count,resource_zone,session_duration,failed_attempts,device_known,label
2,0,0,347,0,2,9,0,1
4,3,0,321,1,3,9,0,1
5,13,1,4,2,32,0,1,0
1,12,1,7,1,43,0,1,0
3,19,1,2,0,8,1,1,0
5,0,0,302,2,1,6,0,1
5,19,1,12,1,40,0,1,0
1,23,0,486,4,1,10,0,1
3,14,1,24,3,29,1,1,0
1,18,1,7,2,47,0,1,0
0,14,1,16,0,32,1,1,0
3,12,1,24,2,19,1,1,0
2,1,0,182,2,3,6,0,1
0,19,1,16,0,53,0,1,0
1,15,1,6,0,21,1,1,0
2,3,0,405,3,2,3,0,1
4,1,0,479,1,1,7,0,1
3,1,0,450,3,2,10,0,1
3,10,1,22,2,34,1,1,0
5,13,1,9,0,56,1,1,0
5,19,1,4,4,53,1,1,0
0,11,1,19,2,18,1,1,0
2,2,0,131,4,3,5,0,1
2,8,1,1,2,54,0,1,0
5,18,1,20,0,8,1,1,0
4,3,0,291,0,3,10,0,1
1,3,0,241,3,2,10,0,1
3,1,0,493,1,3,9,0,1
3,14,1,21,4,17,1,1,0
4,20,1,18,3,34,1,1,0
0,16,1,22,3,23,1,1,0
4,15,1,17,2,40,0,1,0
0,11,1,13,4,8,0,1,0
3,9,1,11,0,37,0,1,0
5,3,0,108,0,3,9,0,1
5,14,1,11,2,14,0,1,0
3,8,1,24,4,8,1,1,0
3,11,1,3,3,56,0,1,0
4,8,1,9,1,13,1,1,0
2,20,1,16,1,28,1,1,0
0,11,1,2,2,30,1,1,0
0,10,1,13,0,29,1,1,0
1,23,0,224,0,3,4,0,1
4,11,1,23,4,31,0,1,0
0,23,0,494,1,1,5,0,1
3,15,1,12,4,31,0,1,0
2,9,1,8,2,23,0,1,0
1,3,0,263,2,3,10,0,1
3,13,1,22,3,51,0,1,0
4,11,1,4,1,55,0,1,0
2,13,1,10,3,31,1,1,0
4,13,1,16,0,12,1,1,0
4,23,0,446,3,2,9,0,1
1,23,0,122,3,2,6,0,1
3,8,1,24,2,37,0,1,0
2,17,1,9,0,51,1,1,0
0,12,1,25,3,26,1,1,0
4,4,0,404,3,2,3,0,1
3,14,1,18,4,56,0,1,0
0,19,1,21,0,19,0,1,0
0,11,1,10,2,49,1,1,0
0,2,0,228,1,3,10,0,1
1,11,1,1,4,14,0,1,0
2,11,1,15,2,26,1,1,0
2,17,1,16,4,14,0,1,0
5,12,1,15,2,17,1,1,0
3,19,1,16,0,6,0,1,0
3,11,1,12,0,48,1,1,0
5,14,1,4,1,7,0,1,0
2,8,1,23,4,13,1,1,0
1,19,1,3,3,11,0,1,0
1,1,0,375,2,3,7,0,1
2,1,0,474,3,3,7,0,1
4,8,1,24,4,24,1,1,0
1,15,1,3,3,33,1,1,0
2,2,0,460,1,3,10,0,1
5,4,0,113,3,3,6,0,1
2,9,1,24,4,53,0,1,0
2,3,0,278,4,3,7,0,1
5,12,1,6,3,40,1,1,0
5,18,1,14,4,28,0,1,0
1,9,1,15,0,47,0,1,0
2,14,1,11,2,47,0,1,0
1,16,1,19,2,60,0,1,0
2,0,0,302,2,3,9,0,1
4,23,0,470,0,1,9,0,1
1,0,0,303,3,1,7,0,1
4,8,1,20,0,20,1,1,0
2,19,1,11,3,43,0,1,0
3,11,1,9,3,36,0,1,0
5,10,1,10,3,5,1,1,0
0,8,1,18,2,49,0,1,0
0,20,1,8,2,19,0,1,0
4,14,1,15,3,24,1,1,0
0,10,1,6,4,8,0,1,0
0,4,0,358,1,3,5,0,1
5,23,0,378,3,3,9,0,1
5,0,0,398,3,1,9,0,1
0,16,1,18,1,28,1,1,0
2,13,1,18,0,13,0,1,0
5,12,1,19,0,53,0,1,0
3,9,1,20,0,32,1,1,0
4,18,1,8,3,42,0,1,0
1,8,1,7,0,25,1,1,0
5,13,1,14,1,22,0,1,0
0,10,1,20,3,7,0,1,0
0,10,1,5,4,47,1,1,0
2,3,0,271,3,3,5,0,1
1,15,1,22,0,41,0,1,0
0,11,1,15,2,6,1,1,0
1,17,1,10,3,17,0,1,0
3,4,0,257,0,3,10,0,1
4,0,0,135,3,1,7,0,1
1,4,0,427,3,2,8,0,1
0,11,1,14,4,30,0,1,0
4,4,0,147,4,3,5,0,1
0,3,0,442,0,1,5,0,1
5,15,1,2,3,28,0,1,0
4,16,1,8,4,19,0,1,0
3,19,1,18,2,27,1,1,0
2,16,1,12,0,53,1,1,0
4,4,0,200,3,1,5,0,1
0,16,1,7,4,21,0,1,0
3,10,1,20,4,6,1,1,0
5,17,1,2,2,9,1,1,0
1,20,1,16,0,28,1,1,0
2,15,1,22,3,36,1,1,0
4,2,0,439,3,3,9,0,1
1,10,1,19,2,10,0,1,0
1,12,1,7,1,53,1,1,0
5,1,0,107,2,2,6,0,1
0,13,1,3,4,20,1,1,0
4,9,1,9,2,50,1,1,0
1,10,1,3,4,60,1,1,0
2,9,1,21,0,44,1,1,0
5,20,1,16,0,60,0,1,0
4,23,0,285,0,3,4,0,1
4,12,1,16,3,33,1,1,0
1,23,0,491,0,1,9,0,1
0,4,0,457,3,1,4,0,1
0,17,1,23,1,11,1,1,0
2,3,0,435,2,3,10,0,1
0,20,1,14,1,16,1,1,0
0,11,1,10,1,28,0,1,0
3,18,1,4,3,50,1,1,0
1,10,1,6,4,56,0,1,0
0,16,1,8,0,34,0,1,0
5,4,0,350,0,3,10,0,1
4,18,1,5,2,24,1,1,0
1,4,0,363,1,2,8,0,1
4,18,1,13,3,50,0,1,0
1,15,1,18,3,27,1,1,0
0,15,1,12,4,24,1,1,0
2,18,1,9,2,14,1,1,0
1,19,1,15,2,33,0,1,0
3,3,0,382,3,1,3,0,1
3,4,0,371,1,2,6,0,1
5,11,1,10,2,60,0,1,0
0,3,0,167,4,2,10,0,1
0,13,1,8,0,25,0,1,0
2,16,1,14,2,9,1,1,0
1,15,1,23,3,28,1,1,0
3,18,1,4,3,44,1,1,0
5,1,0,337,0,3,9,0,1
5,9,1,21,3,49,1,1,0
3,14,1,24,4,22,1,1,0
0,2,0,327,2,2,4,0,1
3,15,1,2,3,28,1,1,0
0,0,0,323,1,1,8,0,1
0,0,0,252,4,3,4,0,1
5,3,0,139,2,1,6,0,1
2,23,0,500,4,3,6,0,1
5,8,1,12,0,27,0,1,0
1,17,1,23,0,24,1,1,0
2,0,0,393,4,2,9,0,1
0,0,0,248,3,3,9,0,1
4,12,1,11,0,10,1,1,0
4,17,1,22,0,10,1,1,0
3,15,1,16,1,34,0,1,0
0,18,1,21,3,28,0,1,0
3,0,0,236,3,1,5,0,1
4,4,0,178,1,3,8,0,1
2,15,1,23,1,53,1,1,0
0,16,1,25,3,43,0,1,0
5,23,0,131,1,3,6,0,1
2,20,1,8,4,25,0,1,0
5,4,0,343,2,1,4,0,1
1,3,0,485,2,2,7,0,1
4,12,1,1,0,19,0,1,0
0,20,1,10,1,24,0,1,0
5,15,1,21,3,33,0,1,0
3,10,1,8,4,31,0,1,0
0,10,1,24,0,10,0,1,0
1,9,1,22,0,13,0,1,0
2,20,1,14,2,58,0,1,0
3,19,1,9,2,15,0,1,0
1,1,0,408,4,2,3,0,1
2,8,1,23,2,18,1,1,0
5,23,0,376,1,3,8,0,1
4,0,0,284,4,3,4,0,1
5,15,1,23,1,32,0,1,0
0,0,0,150,2,1,6,0,1
3,17,1,18,0,33,0,1,0
5,2,0,186,1,3,10,0,1
2,2,0,237,3,1,4,0,1
4,14,1,16,0,27,1,1,0
4,1,0,382,1,2,9,0,1
3,4,0,128,0,3,5,0,1
2,13,1,9,4,49,1,1,0
1,1,0,242,4,2,6,0,1
4,15,1,5,3,16,1,1,0
4,4,0,266,3,1,7,0,1
4,15,1,9,0,10,1,1,0
2,15,1,15,0,8,1,1,0
5,12,1,17,2,47,1,1,0
3,17,1,17,2,34,1,1,0
3,8,1,11,3,50,1,1,0
3,2,0,227,0,2,9,0,1
3,9,1,18,1,46,0,1,0
1,13,1,12,1,47,1,1,0
0,11,1,8,0,26,0,1,0
1,13,1,25,1,39,0,1,0
4,8,1,15,0,25,1,1,0
1,11,1,24,3,22,1,1,0
4,0,0,123,3,2,4,0,1
1,1,0,355,4,2,10,0,1
2,15,1,4,0,20,0,1,0
3,14,1,8,1,46,0,1,0
5,13,1,2,0,42,1,1,0
0,9,1,11,4,14,0,1,0
0,0,0,311,2,3,10,0,1
5,9,1,18,4,23,1,1,0
1,2,0,255,0,1,6,0,1
3,19,1,10,4,50,1,1,0
3,23,0,381,3,3,6,0,1
0,18,1,14,2,32,1,1,0
5,1,0,134,1,1,6,0,1
1,3,0,451,4,3,7,0,1
2,8,1,19,0,43,1,1,0
2,17,1,2,2,37,0,1,0
3,15,1,22,4,27,0,1,0
4,11,1,14,4,54,0,1,0
1,2,0,173,4,1,9,0,1
3,17,1,9,0,53,0,1,0
2,19,1,25,2,26,1,1,0
1,2,0,108,1,3,5,0,1
1,19,1,16,3,21,0,1,0
4,18,1,12,0,30,1,1,0
3,4,0,432,2,2,7,0,1
2,15,1,10,2,56,0,1,0
3,23,0,409,4,1,4,0,1
2,9,1,25,3,60,0,1,0
3,18,1,17,4,43,1,1,0
5,18,1,20,1,26,0,1,0
4,13,1,3,3,5,1,1,0
3,16,1,23,2,44,0,1,0
1,14,1,16,3,18,1,1,0
1,18,1,16,4,15,1,1,0
2,13,1,4,0,36,1,1,0
5,15,1,23,3,45,0,1,0
1,15,1,21,2,34,1,1,0
4,0,0,370,0,1,6,0,1
4,9,1,21,2,58,0,1,0
2,4,0,354,3,1,10,0,1
4,11,1,8,2,54,0,1,0
2,19,1,11,4,43,0,1,0
2,3,0,111,0,2,10,0,1
0,11,1,23,3,33,0,1,0
3,19,1,10,3,22,1,1,0
3,0,0,288,2,3,4,0,1
5,0,0,482,3,1,6,0,1
2,18,1,19,2,35,1,1,0
5,16,1,10,0,13,1,1,0
5,14,1,16,4,53,0,1,0
5,16,1,21,2,44,1,1,0
3,2,0,454,0,2,10,0,1
4,9,1,13,0,40,1,1,0
1,8,1,12,4,26,0,1,0
2,13,1,15,0,41,0,1,0
2,17,1,7,2,18,1,1,0
5,13,1,25,4,13,1,1,0
4,19,1,8,1,34,1,1,0
0,14,1,15,4,35,1,1,0
1,20,1,16,3,17,0,1,0
1,1,0,398,2,1,3,0,1
1,0,0,195,3,2,9,0,1
4,0,0,328,4,3,3,0,1
4,9,1,15,2,48,1,1,0
1,0,0,415,4,1,6,0,1
5,9,1,6,3,34,1,1,0
0,23,0,124,0,2,5,0,1
3,4,0,435,2,2,10,0,1
5,12,1,10,3,43,1,1,0
2,16,1,19,0,33,0,1,0
2,20,1,8,4,56,1,1,0
4,13,1,17,4,22,0,1,0
5,20,1,11,1,47,0,1,0
0,2,0,178,3,3,5,0,1
2,17,1,10,2,11,0,1,0
3,2,0,300,3,3,5,0,1
5,3,0,262,2,1,4,0,1
3,17,1,10,3,19,0,1,0
0,20,1,22,2,47,1,1,0
4,16,1,22,2,9,1,1,0
5,2,0,330,3,1,8,0,1
5,8,1,15,2,48,0,1,0
4,19,1,19,2,33,0,1,0
5,13,1,4,1,17,0,1,0
4,14,1,21,2,11,0,1,0
5,23,0,448,2,3,10,0,1
3,18,1,5,0,35,1,1,0
2,15,1,17,1,58,1,1,0
3,14,1,15,2,15,1,1,0
0,14,1,14,2,39,1,1,0
1,9,1,20,0,48,0,1,0
1,3,0,415,2,3,8,0,1
1,19,1,4,4,10,1,1,0
2,2,0,303,0,2,9,0,1
4,18,1,19,1,54,0,1,0
3,12,1,14,4,47,1,1,0
1,4,0,339,2,1,4,0,1
1,17,1,9,0,11,1,1,0
4,12,1,23,2,6,1,1,0
5,12,1,13,2,33,1,1,0
1,1,0,344,1,2,8,0,1
3,12,1,7,4,12,1,1,0
5,1,0,131,0,2,7,0,1
1,23,0,394,2,3,8,0,1
2,3,0,329,3,2,4,0,1
4,0,0,114,0,1,7,0,1
5,10,1,22,0,23,1,1,0
5,13,1,20,3,22,0,1,0
4,1,0,266,3,2,9,0,1
4,16,1,6,0,37,0,1,0
4,13,1,13,2,46,1,1,0
3,9,1,10,4,36,1,1,0
1,12,1,20,4,40,1,1,0
5,18,1,21,0,43,0,1,0
3,17,1,1,0,6,1,1,0
4,17,1,10,3,40,0,1,0
0,0,0,170,2,2,10,0,1
4,15,1,23,2,10,1,1,0
3,16,1,21,3,22,0,1,0
1,9,1,23,3,7,1,1,0
2,3,0,205,4,2,8,0,1
4,8,1,17,1,10,0,1,0
1,11,1,20,1,60,1,1,0
0,0,0,371,2,3,7,0,1
5,3,0,293,0,2,10,0,1
0,15,1,20,4,6,0,1,0
0,20,1,23,0,59,0,1,0
3,9,1,19,1,42,0,1,0
5,4,0,240,1,3,7,0,1
1,11,1,10,1,8,0,1,0
0,4,0,251,1,3,4,0,1
0,11,1,9,4,13,1,1,0
0,1,0,375,3,3,5,0,1
3,9,1,17,3,5,0,1,0
5,0,0,446,1,3,6,0,1
2,1,0,269,0,2,8,0,1
3,18,1,21,1,36,0,1,0
1,2,0,217,3,3,6,0,1
1,13,1,14,3,23,1,1,0
3,3,0,498,0,3,6,0,1
0,8,1,15,4,41,0,1,0
4,4,0,396,3,2,5,0,1
1,18,1,16,1,59,0,1,0
0,20,1,2,0,14,0,1,0
5,18,1,11,1,13,0,1,0
5,3,0,309,1,2,9,0,1
2,10,1,3,0,15,1,1,0
1,9,1,17,0,38,0,1,0
2,17,1,23,3,46,0,1,0
0,3,0,291,2,3,8,0,1
3,23,0,343,3,3,6,0,1
5,1,0,142,3,2,8,0,1
4,8,1,20,1,48,1,1,0
5,16,1,4,2,10,0,1,0
1,9,1,9,3,20,1,1,0
3,17,1,24,4,32,1,1,0
2,23,0,263,2,2,5,0,1
1,14,1,22,3,48,0,1,0
2,23,0,443,3,3,8,0,1
4,14,1,18,3,21,0,1,0
3,9,1,5,1,60,1,1,0
1,4,0,470,4,1,10,0,1
1,12,1,4,4,6,1,1,0
4,14,1,12,1,13,1,1,0
2,11,1,22,1,47,0,1,0
3,8,1,7,3,29,0,1,0
5,8,1,14,0,34,0,1,0
1,2,0,366,3,1,6,0,1
2,15,1,3,2,20,1,1,0
